Dataset,Length,ConvTran,WaveState
Cricket,1197,1.000,1.000
EigenWorms,17984,0.593,0.708
EthanolConcentration,1751,0.361,0.742
MotorImagery,3000,0.500,0.930
SelfRegulationSCP2,1152,0.583,0.550
StandWalkJump,2500,0.333,0.667
