dataset,zenodo_record_id,artifact_path,sha256,format,notes,licence
BasicMotions,REPLACE_ME,BasicMotions.zip,REPLACE_ME,tszip,UEA MTSC classic,CC-BY-4.0
NATOPS,REPLACE_ME,NATOPS.zip,REPLACE_ME,tszip,UEA MTSC classic,CC-BY-4.0
