Dataset,TapNet,ShapeNet,IT,TST,DA-Net,Conv-GRU,Disjoint-CNN,DKN,TSLANet,ConvTran,PatchTST,Hformer,LITEMVTime,FreConvNet
ArticularyWordRecognition,0.987,0.987,0.987,0.983,0.98,0.973,0.987,0.993,0.99,0.983,0.977,0.983,0.973,0.993
AtrialFibrillation,0.333,0.4,0.2,0.2,0.467,0.467,0.4,0.467,0.4,0.4,0.533,0.573,0.133,0.533
BasicMotions,1.0,1.0,1.0,0.975,0.925,1.0,1.0,1.0,1.0,1.0,0.925,1.0,1.0,1.0
Cricket,0.958,0.986,0.986,1.0,0.861,0.943,0.977,0.951,0.986,1.0,0.847,0.981,0.986,1.0
Epilepsy,0.971,0.987,0.993,0.949,0.883,0.978,0.89,0.979,0.986,0.986,0.659,0.983,0.993,0.991
EthanolConcentration,0.323,0.133,0.35,0.151,0.338,0.332,0.27,0.372,0.304,0.361,0.289,0.386,0.692,0.36
FaceDetection,0.556,0.602,0.589,0.654,0.648,0.64,0.567,0.631,0.668,0.672,0.69,0.687,0.61,0.651
FingerMovements,0.53,0.58,0.56,0.58,0.51,0.58,0.54,0.6,0.61,0.56,0.62,0.602,0.56,0.638
HandMovementDirection,0.378,0.338,0.378,0.541,0.365,0.338,0.541,0.662,0.527,0.405,0.581,0.703,0.351,0.541
Handwriting,0.357,0.452,0.301,0.275,0.159,0.451,0.237,0.231,0.579,0.375,0.26,0.466,0.4,0.575
Heartbeat,0.751,0.756,0.625,0.698,0.624,0.746,0.717,0.765,0.776,0.785,0.766,0.793,0.615,0.776
InsectWingbeat,0.208,0.25,0.696,0.675,0.567,0.208,0.631,0.362,0.1,0.713,0.1,0.65,0.617,0.766
JapaneseVowels,0.965,0.984,0.97,0.984,0.938,0.991,0.976,0.93,0.992,0.989,0.987,0.979,0.965,0.986
Libras,0.85,0.856,0.872,0.822,0.8,0.889,0.858,0.9,0.928,0.928,0.811,0.864,0.894,0.959
LSST,0.568,0.59,0.446,0.556,0.56,0.548,0.556,0.347,0.663,0.616,0.678,0.64,0.664,0.699
MotorImagery,0.59,0.61,0.53,0.48,0.5,0.512,0.49,0.62,0.62,0.56,0.61,0.632,0.53,0.643
NATOPS,0.939,0.883,0.917,0.95,0.878,0.916,0.928,0.872,0.956,0.944,0.967,0.972,0.9,0.984
PenDigits,0.98,0.977,0.98,0.97,0.98,0.939,0.971,0.948,0.989,0.987,0.992,0.971,0.989,0.988
PhonemeSpectra,0.175,0.298,0.159,0.089,0.093,0.215,0.282,0.525,0.178,0.306,0.117,0.283,0.158,0.261
RacketSports,0.868,0.882,0.822,0.882,0.803,0.888,0.836,0.879,0.908,0.862,0.842,0.872,0.737,0.904
SelfRegulationSCP1,0.652,0.782,0.863,0.86,0.924,0.843,0.884,0.913,0.918,0.918,0.898,0.915,0.73,0.928
SelfRegulationSCP2,0.55,0.578,0.472,0.533,0.561,0.566,0.517,0.6,0.617,0.583,0.544,0.597,0.55,0.594
SpokenArabicDigits,0.983,0.975,0.987,0.948,0.98,0.963,0.986,0.963,0.999,0.995,0.997,0.997,0.986,0.997
StandWalkJump,0.4,0.533,0.4,0.333,0.4,0.426,0.333,0.533,0.467,0.333,0.6,0.55,0.667,0.433
UWaveGestureLibrary,0.894,0.906,0.909,0.891,0.833,0.919,0.891,0.897,0.913,0.891,0.8,0.916,0.847,0.932
AVG acc,0.671,0.693,0.68,0.679,0.663,0.691,0.691,0.718,0.723,0.726,0.684,0.76,0.702,0.765
Best,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0,6.0,2.0,2.0,4.0,4.0,11.0
Wins,24.0,23.0,23.0,22.0,25.0,24.0,22.0,18.0,15.0,18.0,18.0,14.0,20.0,
Draws,1.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,
Losses,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,8.0,5.0,5.0,9.0,4.0,
