dataset,ConvTran,TST,InceptionTime,DisjointCNN,FCN,ResNet
FaceDetection,0.6722,0.6542,0.5885,0.5665,0.5037,0.5948
InsectWingbeat,0.7132,0.6748,0.6956,0.6308,0.6004,0.65
PenDigits,0.9871,0.9694,0.9797,0.9708,0.9857,0.9771
SpokenArabicDigits,0.9945,0.9749,0.9872,0.9859,0.9836,0.9832
LSST,0.6156,0.2846,0.4456,0.5559,0.5616,0.5725
FingerMovements,0.56,0.58,0.56,0.54,0.53,0.54
MotorImagery,0.56,0.48,0.53,0.49,0.55,0.52
SelfRegulationSCP1,0.918,0.86,0.8634,0.8839,0.7816,0.8362
Heartbeat,0.7853,0.6975,0.6248,0.717,0.678,0.7268
SelfRegulationSCP2,0.5833,0.5333,0.4722,0.5166,0.4667,0.5
PhonemeSpectra,0.3062,0.089,0.1586,0.2821,0.1599,0.1596
CharacterTrajectories,0.9922,0.9825,0.9881,0.9945,0.9868,0.9945
EthanolConcentration,0.3612,0.151,0.3489,0.2775,0.3232,0.3155
HandMovementDirection,0.4054,0.5405,0.3783,0.5405,0.2973,0.2838
PEMS-SF,0.8284,0.7572,0.8901,0.8901,0.8324,0.7399
RacketSports,0.8618,0.8815,0.8223,0.8355,0.8223,0.8223
Epilepsy,0.9855,0.9492,0.9928,0.8898,0.9928,0.9928
JapaneseVowels,0.9891,0.9837,0.9702,0.9756,0.973,0.9135
NATOPS,0.9444,0.95,0.9166,0.9277,0.8778,0.8944
EigenWorms,0.5934,0.4503,0.5267,0.5934,0.4198,0.4198
UWaveGestureLibrary,0.8906,0.8906,0.9093,0.8906,0.85,0.85
Libras,0.9277,0.8222,0.8722,0.8577,0.85,0.8389
ArticularyWordRecognition,0.9833,0.9833,0.9866,0.9866,0.98,0.98
BasicMotions,1.0,0.975,1.0,1.0,1.0,1.0
DuckDuckGeese,0.62,0.5,0.36,0.5,0.36,0.24
Cricket,1.0,1.0,0.9861,0.9772,0.9306,0.9722
Handwriting,0.3752,0.2752,0.3011,0.2372,0.376,0.18
ERing,0.9629,0.9296,0.9296,0.9111,0.9037,0.9296
AtrialFibrillation,0.4,0.2,0.2,0.4,0.3333,0.3333
StandWalkJump,0.3333,0.3333,0.4,0.3333,0.4,0.4
