Dataset,FS,LTS,ELIS,ST,RT_100,RT_50,RT_20,RT_10,RT_5,RT_1,RT_0_1
ArticularyWordRecognition,0.8867,0.9433,,0.8067,0.9933,0.9933,0.99,0.99,0.9933,0.9867,0.9833
AtrialFibrillation,0.3333,0.4,0.2667,0.2,0.2,0.3333,0.2667,0.2,0.2667,0.2667,0.1333
BasicMotions,0.9,1.0,0.25,0.5,1.0,0.975,1.0,1.0,0.975,1.0,0.975
Cricket,,,,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.9861
DuckDuckGeese,0.28,0.2,0.2,0.18,0.18,0.16,0.18,0.2,0.12,0.2,0.18
EigenWorms,,,,0.5344,0.5878,0.5954,0.6031,0.6031,0.5573,0.5267000000000001,0.45799999999999996
Epilepsy,0.8986,0.9275,0.5145000000000001,0.8478,0.9928,0.9854999999999999,0.9854999999999999,0.9783,0.971,0.9638,0.9057999999999999
EthanolConcentration,,,,0.4715,0.3954,0.384,0.4144,0.43729999999999997,0.4183,0.4867,0.5856
ERing,0.8667,0.8667,0.8443999999999999,0.40740000000000004,0.8184999999999999,0.8111,0.8370000000000001,0.8295999999999999,0.8073999999999999,0.7889,0.5222
FaceDetection,0.5809000000000001,0.48950000000000005,,0.5119,0.5074000000000001,0.5207,0.5267000000000001,0.5094,0.5091,0.5077,0.502
FingerMovements,0.48,0.51,0.49,0.53,0.59,0.54,0.57,0.54,0.52,0.52,0.51
HandMovementDirection,0.3649,,,0.4595,0.3378,0.2568,0.4054,0.39189999999999997,0.4595,0.3514,0.39189999999999997
Handwriting,0.16940000000000002,0.2659,,0.0553,0.26940000000000003,0.2635,0.26239999999999997,0.2776,0.30469999999999997,0.3141,0.29059999999999997
Heartbeat,0.7268000000000001,0.722,,0.722,0.7268000000000001,0.7317,0.7317,0.7317,0.7365999999999999,0.7268000000000001,0.722
Libras,0.6222,0.11109999999999999,0.15560000000000002,0.6111,0.8556,0.85,0.8667,0.8556,0.8443999999999999,0.7778,0.6778
LSST,0.4935,,0.050300000000000004,0.33899999999999997,0.3362,0.3443,0.36619999999999997,0.38,0.39289999999999997,0.4031,0.41240000000000004
MotorImagery,,,,0.5,0.5,0.48,0.51,0.44,0.46,0.51,0.44
NATOPS,0.75,0.8,0.7333,0.5111,0.8778,0.8833,0.8722,0.8833,0.8389,0.8332999999999999,0.8222
PenDigits,,0.251,0.1041,0.9348000000000001,0.6209,0.6209,0.6201,0.6118,0.5212,0.2441,0.2441
PEMS-SF,0.8554999999999999,0.11560000000000001,,0.5318,0.3642,0.3699,0.35840000000000005,0.35259999999999997,0.3353,0.3642,0.3237
PhonemeSpectra,,0.0256,,0.0859,0.17859999999999998,0.1918,0.1912,0.1825,0.18309999999999998,0.1429,0.06709999999999999
RacketSports,0.7631999999999999,0.6711,0.2829,0.6053000000000001,0.8487,0.8553000000000001,0.8487,0.8684000000000001,0.875,0.875,0.8487
SelfRegulationSCP1,0.7883,0.7372,,0.7440000000000001,0.8567,0.8669,0.8634999999999999,0.8737,0.8669,0.8703,0.8669
SelfRegulationSCP2,0.4889,0.44439999999999996,,0.55,0.4778,0.5667,0.5389,0.4889,0.4889,0.5222,0.5389
StandWalkJump,0.4667,0.3333,,0.4667,0.4,0.4,0.3333,0.4,0.4,0.3333,0.3333
UWaveGestureLibrary,0.6531,,,0.5938,0.875,0.8656,0.875,0.8687999999999999,0.8656,0.8625,0.8125
